League,Team,Season,KEY,Player,Position,Appearances,Goals,Started,Started As A Sub,Came On,Taken Off,Own Goals,Type Of Goal,First Half,Second Half,First Scorer,Last Scorer,Home,Away,Right Foot,Left Foot,Header,Other Method,Open Play,Cross,Free Kick,Direct Free Kick,Throw In,Penalty,Corner,Other Type Of Play,Minutes played,Min/goal,Assists,% Assists,Leading Recipient,Recipient Goals,CS,% Clean Sheets,Hat Tricks,Yellow Cards,Yellow - First Half,Yellow - Second Half,Yellow - Home,Yellow - Away,Yelow - Minutes Played,Minutes per Yellow Cards,Sent Off,Straight Red Card,Two Yellow Cards,Red - First Half,Red - Second Half,Red - Home,Red - Away,Red - Minutes Played,Minutes per Red Cards
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Dejan Lovren,Defender,13,1,11,8,2,1,0,Player,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,1,1,-,-,1,985,985,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Adam Lallana,Midfielder,13,0,5,19,8,5,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,-,1,465,465,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Divock Origi,Forward,12,3,4,21,8,3,0,Player,-,3,1,2,2,1,1,-,2,-,2,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Alberto Moreno,Defender,2,0,2,16,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Alex Oxlade-Chamberlain,Midfielder,2,0,0,3,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Rafael Camacho,Midfielder,1,0,0,8,1,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Curtis Jones,Midfielder,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Loris Karius,Goalkeeper,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Simon Mignolet,Goalkeeper,0,0,0,37,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,,,,61,,,,,,Team,,,,,,,,,,,41,6,2,-,-,5,7,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Cesar Azpilicueta,Defender,38,1,38,0,0,1,0,Player,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,4,1,3,2,2,3403,850.75,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Jorginho,Midfielder,37,2,37,1,0,9,0,Player,2,-,-,1,-,2,2,-,-,-,1,-,-,-,-,1,-,-,,,,,,,,,,8,3,5,3,5,3165,395.63,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Eden Hazard,Midfielder,37,16,32,5,5,8,0,Player,8,8,5,4,11,5,11,5,-,-,12,-,-,-,-,4,-,-,2926,183,15,25,Ruben Loftus-Cheek,4,,,1,2,2,-,1,1,2926,1463,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,"N'Golo Kante",Midfielder,36,4,36,1,0,4,0,Player,3,1,3,1,2,2,1,3,-,-,3,1,-,-,-,-,-,-,,,,,,,,,,3,1,2,2,1,3096,1032,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,David Luiz,Defender,36,3,36,2,0,1,0,Player,-,3,-,2,3,-,-,-,3,-,-,-,-,-,-,-,3,-,,,,,,,,,,3,1,2,1,2,3239,1079.67,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Kepa Arrizabalaga,Goalkeeper,36,0,36,2,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,14,38.89%,,2,-,2,1,1,3240,1620,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Antonio Rudiger,Defender,33,1,33,2,0,3,0,Player,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,7,3,4,4,3,2874,410.57,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Willian,Midfielder,32,3,26,11,6,17,0,Player,-,3,-,2,2,1,3,-,-,-,3,-,-,-,-,-,-,-,,,6,10,Eden Hazard,2,,,,2,1,1,-,2,2108,1054,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Mateo Kovacic,Midfielder,32,0,21,15,11,19,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,2,1743,581,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Marcos Alonso,Midfielder,31,2,31,1,0,2,0,Player,1,1,-,2,1,1,-,2,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,6,3,3,1,5,2761,460.17,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Pedro Rodriguez,Midfielder,31,8,21,12,10,12,0,Player,4,4,6,3,6,2,4,4,-,-,7,1,-,-,-,-,-,-,1780,223,,,,,,,,2,-,2,2,-,1780,890,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Ross Barkley,Midfielder,27,3,13,23,14,10,0,Player,-,3,-,1,1,2,2,1,-,-,2,-,1,-,-,-,-,-,,,,,,,,,,1,-,1,-,1,1241,1241,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Olivier Giroud,Forward,27,2,7,29,20,5,0,Player,1,1,1,1,1,1,-,1,1,-,-,2,-,-,-,-,-,-,,,,,,,,,,1,-,1,-,1,833,833,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Ruben Loftus-Cheek,Midfielder,24,6,6,20,18,3,0,Player,1,5,2,4,3,3,3,1,2,-,3,1,-,-,-,-,2,-,983,164,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Alvaro Morata,Forward,16,5,11,6,5,7,0,Player,3,2,2,1,3,2,3,2,-,-,4,-,1,-,-,-,-,-,942,188,,,,,,,,3,1,2,2,1,942,314,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Gonzalo Higuain,Forward,14,5,13,2,1,8,0,Player,3,2,2,1,4,1,5,-,-,-,4,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Emerson,Defender,10,0,7,9,3,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Callum Hudson-Odoi,Midfielder,10,0,4,9,6,4,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Andreas Christensen,Defender,8,0,6,24,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,615,615,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Francesc Fabregas,Midfielder,6,0,1,14,5,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,175,175,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Davide Zappacosta,Midfielder,4,0,1,22,3,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Willy Caballero,Goalkeeper,2,0,2,36,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Gary Cahill,Defender,2,0,0,10,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Victor Moses,Midfielder,2,0,0,4,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Daniel Drinkwater,Midfielder,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Ethan Ampadu,Defender,0,0,0,4,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2018/19,Premier League|Chelsea|2018/19,Marc Guehi,Defender,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,,,,66,,,,,,Team,,,,,,,,,,,37,11,3,2,1,4,8,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Christian Eriksen,Midfielder,35,8,30,6,5,3,0,Player,2,6,3,4,6,2,5,3,-,-,7,-,-,1,-,-,-,-,2772,347,12,18,Lucas Moura,3,,,,3,1,2,2,1,2772,924,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Toby Alderweireld,Defender,34,0,33,4,1,3,1,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,2,2924,974.67,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Hugo Lloris,Goalkeeper,33,0,33,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,12,36.36%,,,,,,,,,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Lucas Moura,Midfielder,32,10,25,11,7,13,0,Player,4,6,1,3,6,4,8,1,1,-,8,1,-,-,-,-,1,-,2127,213,,,,,,,1,3,2,1,1,2,2127,709,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Heung Min Son,Midfielder,31,12,23,10,8,16,0,Player,4,8,3,4,8,4,7,5,-,-,11,1,-,-,-,-,-,-,2095,175,6,9,Harry Kane,2,,,,2,1,1,2,-,2048,1024,1,1,-,1,-,-,1,2142,2142
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Moussa Sissoko,Midfielder,29,0,27,3,2,8,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,-,2,2336,1168,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Harry Kane,Forward,28,17,27,1,1,4,0,Player,10,7,7,4,6,11,12,3,2,-,7,2,1,-,1,4,2,-,2427,143,,,,,,,,5,1,4,2,3,2427,485.4,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Kieran Trippier,Defender,27,1,26,5,1,3,1,Player,-,1,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,,2,1,1,-,2,2278,1139,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Ben Davies,Defender,27,0,20,14,7,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,-,1839,919.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Danny Rose,Defender,26,0,20,11,6,6,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,2,3,1798,359.6,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Harry Winks,Midfielder,26,1,17,11,9,3,0,Player,-,1,-,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,,,,,,,,,,4,-,4,1,3,1591,397.75,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Dele Alli,Midfielder,25,5,22,3,3,12,0,Player,3,2,2,2,1,4,1,-,4,-,1,3,1,-,-,-,-,-,,,,,,,,,,4,1,3,2,2,1834,458.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Davinson Sanchez,Defender,23,1,22,8,1,2,0,Player,1,-,1,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,,,,,,,,,,2,-,2,1,1,1943,971.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Jan Vertonghen,Defender,22,1,22,1,0,3,0,Player,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,4,2,2,2,2,1915,478.75,1,-,1,-,1,-,1,1915,1915
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Eric Dier,Midfielder,20,3,18,6,2,6,0,Player,3,-,2,1,2,1,2,-,1,-,-,-,1,-,-,-,2,-,,,,,,,,,,4,4,-,-,4,1510,377.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Fernando Llorente,Forward,20,1,6,24,14,3,1,Player,-,1,-,1,1,-,-,-,1,-,-,1,-,-,-,-,-,-,,,,,,,,,,2,-,2,1,1,683,341.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Erik Lamela,Midfielder,19,4,9,14,10,7,0,Player,2,2,2,2,1,3,1,2,1,-,2,1,-,-,-,-,1,-,,,,,,,,,,2,-,2,1,1,971,485.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Victor Wanyama,Midfielder,13,1,4,16,9,2,0,Player,1,-,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,2,-,2,-,2,509,254.5,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Juan Foyth,Defender,12,1,10,13,2,1,0,Player,-,1,1,1,-,1,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,3,-,3,1,2,888,296,1,1,-,-,1,-,1,972,972
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Moussa Dembele,Midfielder,10,0,7,3,3,5,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,517,517,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Serge Aurier,Defender,8,0,6,13,2,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,564,564,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Oliver Skipp,Midfielder,8,0,2,19,6,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Kyle Walker-Peters,Defender,6,0,4,19,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,374,374,,,,,,,,,
Premier League,Tottenham Hotspur,2018/19,Premier League|Tottenham Hotspur|2018/19,Paulo Gazzaniga,Goalkeeper,3,0,3,32,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,
