League,Team,Season,KEY,Player,Position,Appearances,Goals,Started,Started As A Sub,Came On,Taken Off,Own Goals,Type Of Goal,First Half,Second Half,First Scorer,Last Scorer,Home,Away,Right Foot,Left Foot,Header,Other Method,Open Play,Cross,Free Kick,Direct Free Kick,Throw In,Penalty,Corner,Other Type Of Play,Minutes played,Min/goal,Assists,% Assists,Leading Recipient,Recipient Goals,CS,% Clean Sheets,Hat Tricks,Yellow Cards,Yellow - First Half,Yellow - Second Half,Yellow - Home,Yellow - Away,Yelow - Minutes Played,Minutes per Yellow Cards,Sent Off,Straight Red Card,Two Yellow Cards,Red - First Half,Red - Second Half,Red - Home,Red - Away,Red - Minutes Played,Minutes per Red Cards
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,,,,91,,,,,,Team,,,,,,,,,,,63,18,2,2,-,3,3,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Ederson,Goalkeeper,38,0,38,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,20,52.63%,,2,-,2,1,1,3420,1710,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Bernardo Silva,Midfielder,36,7,31,6,5,4,0,Player,4,3,4,1,2,5,-,6,1,-,6,1,-,-,-,-,-,-,,,7,8,Sergio Aguero,3,,,,3,2,1,2,1,2853,951,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Aymeric Laporte,Defender,35,3,34,2,1,1,0,Player,2,1,1,1,-,3,-,-,3,-,-,-,2,-,-,-,1,-,,,,,,,,,,3,1,2,1,2,3057,1019,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Raheem Sterling,Midfielder,34,17,31,7,3,9,0,Player,7,10,6,3,12,5,11,4,2,-,12,5,-,-,-,-,-,-,2777,163,10,11,Leroy Sane,4,,,1,3,2,1,1,2,2777,925.67,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Sergio Aguero,Forward,33,21,31,3,2,23,0,Player,14,7,9,7,15,6,10,8,2,1,14,5,-,-,-,2,-,-,2481,118,8,9,Raheem Sterling,3,,,3,4,2,2,1,3,2481,620.25,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Kyle Walker,Defender,33,1,30,7,3,1,0,Player,-,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,3,2,1,1,2,2777,925.67,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,David Silva,Midfielder,33,6,28,7,5,15,0,Player,5,1,3,-,4,2,3,3,-,-,4,1,-,1,-,-,-,-,,,8,9,Sergio Aguero,3,,,,2,1,1,1,1,2410,1205,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Ilkay Gundogan,Midfielder,31,6,23,9,8,6,0,Player,3,3,1,3,4,2,4,1,1,-,3,2,-,1,-,-,-,-,,,,,,,,,,3,-,3,2,1,2135,711.67,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Leroy Sane,Midfielder,31,10,21,16,10,10,0,Player,4,6,2,7,5,5,1,8,-,1,7,2,-,-,-,-,1,-,1868,187,10,11,Raheem Sterling,4,,,,1,-,1,1,-,1868,1868,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Fernandinho,Midfielder,29,1,27,2,2,6,0,Player,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,5,1,4,1,4,2381,476.2,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Gabriel Jesus,Forward,29,7,8,28,21,4,0,Player,4,3,2,3,5,2,3,2,2,-,5,1,-,-,-,1,-,-,1019,146,,,,,,,,1,-,1,1,-,1019,1019,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Riyad Mahrez,Midfielder,27,7,14,23,13,9,0,Player,1,6,2,3,1,6,2,5,-,-,7,-,-,-,-,-,-,-,1338,191,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,John Stones,Defender,24,0,20,14,4,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,1762,1762,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Kevin De Bruyne,Midfielder,19,2,11,9,8,7,0,Player,1,1,1,1,2,-,1,1,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,2,1,1,-,2,974,487,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Nicolas Otamendi,Defender,18,0,14,21,4,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,1233,1233,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Vincent Kompany,Defender,17,1,13,13,4,3,0,Player,-,1,1,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,6,5,1,3,3,1223,203.83,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Oleksandr Zinchenko,Midfielder,14,0,14,7,0,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,-,1,1153,1153,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Phil Foden,Midfielder,13,1,3,26,10,2,0,Player,1,-,1,1,1,-,-,-,1,-,-,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Danilo,Defender,11,1,9,17,2,1,0,Player,1,-,1,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,1,-,1,-,1,806,806,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Fabian Delph,Midfielder,11,0,8,9,3,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,1,-,725,725,1,1,-,-,1,-,1,727,727
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Benjamin Mendy,Defender,10,0,10,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,900,900,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Arijanet Muric,Goalkeeper,0,0,0,36,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Claudio Bravo,Goalkeeper,0,0,0,2,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Manchester City,2018/19,Premier League|Manchester City|2018/19,Philippe Sandler,Defender,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,,,,86,,,,,,Team,,,,,,,,,,,53,13,4,1,-,7,8,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Virgil van Dijk,Defender,38,4,38,0,0,1,0,Player,1,3,1,2,2,2,-,1,3,-,-,2,1,-,-,-,1,-,,,,,,,,,,1,-,1,-,1,3385,3385,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Alisson Becker,Goalkeeper,38,0,38,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,21,55.26%,,1,1,-,1,-,3420,3420,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Mohamed Salah,Forward,38,22,37,1,1,13,0,Player,11,11,9,8,13,9,4,18,-,-,16,2,1,-,-,3,-,-,3262,148,8,9,Sadio Mane,3,,,1,1,-,1,-,1,3262,3262,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Andrew Robertson,Defender,36,0,36,1,0,3,0,Player,,,,,,,,,,,,,,,,,,,,,11,13,Sadio Mane,3,,,,4,1,3,2,2,3219,804.75,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Sadio Mane,Midfielder,36,22,35,1,1,10,0,Player,13,9,9,4,18,4,11,5,6,-,16,6,-,-,-,-,-,-,3086,140,,,,,,,,2,1,1,-,2,3086,1543,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Georginio Wijnaldum,Midfielder,35,3,32,3,3,13,0,Player,2,1,2,-,1,2,2,-,1,-,1,-,-,-,-,-,2,-,,,,,,,,,,3,1,2,1,2,2735,911.67,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Roberto Firmino,Midfielder,34,12,31,3,3,16,0,Player,5,7,1,2,7,5,5,3,4,-,8,1,1,-,-,1,1,-,2620,218,7,8,Mohamed Salah,3,,,1,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Jordan Henderson,Midfielder,32,1,21,12,11,6,0,Player,-,1,-,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,2,-,2,-,2,1984,992,1,-,1,-,1,-,1,1984,1984
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,James Milner,Midfielder,31,5,19,14,12,7,0,Player,1,4,2,2,-,5,5,-,-,-,2,-,-,-,-,3,-,-,,,,,,,,,,6,1,5,1,5,1786,297.67,1,-,1,-,1,1,-,1786,1786
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Trent Alexander-Arnold,Defender,29,1,27,6,2,7,0,Player,-,1,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,,,12,14,Mohamed Salah,3,,,,3,1,2,2,1,2467,822.33,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Fabinho,Defender,28,1,21,13,7,3,0,Player,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,6,1,5,2,4,2013,335.5,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Naby Keita,Midfielder,25,2,16,16,9,11,0,Player,2,-,1,-,1,1,1,-,1,-,1,1,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Xherdan Shaqiri,Midfielder,24,6,11,26,13,7,0,Player,-,6,-,3,5,1,1,5,-,-,5,1,-,-,-,-,-,-,1058,176,,,,,,,,2,1,1,1,1,1058,529,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Joel Matip,Defender,22,1,17,14,5,0,0,Player,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,3,1,2,2,1,1532,510.67,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Daniel Sturridge,Forward,18,2,4,31,14,1,0,Player,-,2,-,2,1,1,-,2,-,-,1,-,-,-,-,-,1,-,,,,,,,,,,1,-,1,-,1,496,496,,,,,,,,,
Premier League,Liverpool,2018/19,Premier League|Liverpool|2018/19,Joseph Gomez,Defender,16,0,12,6,4,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,2,2,-,1060,530,,,,,,,,,
