League,Pos,Team,P,W,D,L,F,A,GD,Pts,Table Type,Season,KEY
Premier League,8,AFC Bournemouth,19,4,6,9,19,31,-12,18,Away League Table,2017/18,Premier League|AFC Bournemouth|2017/18
Premier League,9,Crystal Palace,19,4,6,9,16,28,-12,18,Away League Table,2017/18,Premier League|Crystal Palace|2017/18
Premier League,10,Southampton,19,3,8,8,17,30,-13,17,Away League Table,2017/18,Premier League|Southampton|2017/18
Premier League,11,Arsenal,19,4,4,11,20,31,-11,16,Away League Table,2017/18,Premier League|Arsenal|2017/18
Premier League,12,Newcastle United,19,4,4,11,18,30,-12,16,Away League Table,2017/18,Premier League|Newcastle United|2017/18
Premier League,13,West Ham United,19,3,6,10,24,42,-18,15,Away League Table,2017/18,Premier League|West Ham United|2017/18
Premier League,14,Everton,19,3,6,10,16,36,-20,15,Away League Table,2017/18,Premier League|Everton|2017/18
Premier League,15,Watford,19,4,2,13,17,33,-16,14,Away League Table,2017/18,Premier League|Watford|2017/18
Premier League,16,Huddersfield Town,19,3,5,11,12,33,-21,14,Away League Table,2017/18,Premier League|Huddersfield Town|2017/18
Premier League,17,West Bromwich Albion,19,3,4,12,10,27,-17,13,Away League Table,2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,18,Stoke City,19,2,7,10,15,38,-23,13,Away League Table,2017/18,Premier League|Stoke City|2017/18
Premier League,19,Swansea City,19,2,6,11,11,32,-21,12,Away League Table,2017/18,Premier League|Swansea City|2017/18
Premier League,20,Brighton & Hove Albion,19,2,5,12,10,29,-19,11,Away League Table,2017/18,Premier League|Brighton & Hove Albion|2017/18
Bundesliga,1,Bayern Munich,34,27,3,4,92,28,64,84,League Table,2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,2,FC Schalke 04,34,18,9,7,53,37,16,63,League Table,2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,3,TSG 1899 Hoffenheim,34,15,10,9,66,48,18,55,League Table,2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,4,Borussia Dortmund,34,15,10,9,64,47,17,55,League Table,2017/18,Bundesliga|Borussia Dortmund|2017/18
Bundesliga,5,Bayer Leverkusen,34,15,10,9,58,44,14,55,League Table,2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,6,RB Leipzig,34,15,8,11,57,53,4,53,League Table,2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,7,VfB Stuttgart,34,15,6,13,36,36,0,51,League Table,2017/18,Bundesliga|VfB Stuttgart|2017/18
Bundesliga,8,Eintracht Frankfurt,34,14,7,13,45,45,0,49,League Table,2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,9,"Borussia M'gladbach",34,13,8,13,47,52,-5,47,League Table,2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,10,Hertha BSC,34,10,13,11,43,46,-3,43,League Table,2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,11,Werder Bremen,34,10,12,12,37,40,-3,42,League Table,2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,12,FC Augsburg,34,10,11,13,43,46,-3,41,League Table,2017/18,Bundesliga|FC Augsburg|2017/18
Bundesliga,13,Hannover 96,34,10,9,15,44,54,-10,39,League Table,2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,14,1. FSV Mainz 05,34,9,9,16,38,52,-14,36,League Table,2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,15,SC Freiburg,34,8,12,14,32,56,-24,36,League Table,2017/18,Bundesliga|SC Freiburg|2017/18
Bundesliga,16,VfL Wolfsburg,34,6,15,13,36,48,-12,33,League Table,2017/18,Bundesliga|VfL Wolfsburg|2017/18
Bundesliga,17,Hamburger SV,34,8,7,19,29,53,-24,31,League Table,2017/18,Bundesliga|Hamburger SV|2017/18
Bundesliga,18,1. FC Koln,34,5,7,22,35,70,-35,22,League Table,2017/18,Bundesliga|1. FC Koln|2017/18
Bundesliga,1,Bayern Munich,17,14,2,1,56,15,41,44,Home League Table,2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,2,TSG 1899 Hoffenheim,17,11,4,2,38,16,22,37,Home League Table,2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,3,FC Schalke 04,17,10,5,2,27,15,12,35,Home League Table,2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,4,VfB Stuttgart,17,10,4,3,18,9,9,34,Home League Table,2017/18,Bundesliga|VfB Stuttgart|2017/18
Bundesliga,5,Borussia Dortmund,17,9,4,4,40,21,19,31,Home League Table,2017/18,Bundesliga|Borussia Dortmund|2017/18
