League,Pos,Team,P,W,D,L,F,A,GD,Pts,Table Type,Season,KEY
French Ligue 1,1,Paris Saint-Germain,19,12,5,2,38,14,24,41,Away League Table,2017/18,French Ligue 1|Paris Saint-Germain|2017/18
French Ligue 1,2,Olympique Lyonnais,19,11,4,4,49,25,24,37,Away League Table,2017/18,French Ligue 1|Olympique Lyonnais|2017/18
French Ligue 1,3,Olympique Marseille,19,10,6,3,36,28,8,36,Away League Table,2017/18,French Ligue 1|Olympique Marseille|2017/18
French Ligue 1,4,AS Monaco,19,9,5,5,38,28,10,32,Away League Table,2017/18,French Ligue 1|AS Monaco|2017/18
French Ligue 1,5,Stade Rennes,19,8,6,5,29,22,7,30,Away League Table,2017/18,French Ligue 1|Stade Rennes|2017/18
French Ligue 1,6,Montpellier HSC,19,6,9,4,16,14,2,27,Away League Table,2017/18,French Ligue 1|Montpellier HSC|2017/18
French Ligue 1,7,Girondins De Bordeaux,19,7,3,9,26,25,1,24,Away League Table,2017/18,French Ligue 1|Girondins De Bordeaux|2017/18
French Ligue 1,8,FC Nantes,19,6,6,7,21,24,-3,24,Away League Table,2017/18,French Ligue 1|FC Nantes|2017/18
French Ligue 1,9,AS Saint-Etienne,19,7,3,9,15,23,-8,24,Away League Table,2017/18,French Ligue 1|AS Saint-Etienne|2017/18
French Ligue 1,10,OGC Nice,19,5,6,8,24,29,-5,21,Away League Table,2017/18,French Ligue 1|OGC Nice|2017/18
French Ligue 1,11,Angers SCO,19,4,7,8,19,24,-5,19,Away League Table,2017/18,French Ligue 1|Angers SCO|2017/18
French Ligue 1,12,SC Amiens,19,4,4,11,11,23,-12,16,Away League Table,2017/18,French Ligue 1|SC Amiens|2017/18
French Ligue 1,13,En Avant Guingamp,19,4,4,11,18,35,-17,16,Away League Table,2017/18,French Ligue 1|En Avant Guingamp|2017/18
French Ligue 1,14,Lille OSC,19,4,2,13,17,40,-23,14,Away League Table,2017/18,French Ligue 1|Lille OSC|2017/18
French Ligue 1,15,FC Metz,19,3,4,12,18,39,-21,13,Away League Table,2017/18,French Ligue 1|FC Metz|2017/18
French Ligue 1,16,Caen,19,3,3,13,10,33,-23,12,Away League Table,2017/18,French Ligue 1|Caen|2017/18
French Ligue 1,17,Dijon FCO,19,2,6,11,20,45,-25,12,Away League Table,2017/18,French Ligue 1|Dijon FCO|2017/18
French Ligue 1,18,Toulouse,19,2,5,12,15,33,-18,11,Away League Table,2017/18,French Ligue 1|Toulouse|2017/18
French Ligue 1,19,RC Strasbourg,19,2,5,12,17,40,-23,11,Away League Table,2017/18,French Ligue 1|RC Strasbourg|2017/18
French Ligue 1,20,Troyes AC,19,2,3,14,15,37,-22,9,Away League Table,2017/18,French Ligue 1|Troyes AC|2017/18
Eredivisie,1,PSV Eindhoven,34,26,5,3,87,39,48,83,League Table,2017/18,Eredivisie|PSV Eindhoven|2017/18
Eredivisie,2,AFC Ajax,34,25,4,5,89,33,56,79,League Table,2017/18,Eredivisie|AFC Ajax|2017/18
Eredivisie,3,AZ Alkmaar,34,22,5,7,72,38,34,71,League Table,2017/18,Eredivisie|AZ Alkmaar|2017/18
Eredivisie,4,Feyenoord,34,20,6,8,76,39,37,66,League Table,2017/18,Eredivisie|Feyenoord|2017/18
Eredivisie,5,FC Utrecht,34,14,12,8,58,53,5,54,League Table,2017/18,Eredivisie|FC Utrecht|2017/18
Eredivisie,6,Vitesse Arnhem,34,13,10,11,63,47,16,49,League Table,2017/18,Eredivisie|Vitesse Arnhem|2017/18
Eredivisie,7,ADO Den Haag,34,13,8,13,45,53,-8,47,League Table,2017/18,Eredivisie|ADO Den Haag|2017/18
Eredivisie,8,SC Heerenveen,34,12,10,12,48,53,-5,46,League Table,2017/18,Eredivisie|SC Heerenveen|2017/18
Eredivisie,9,PEC Zwolle,34,12,8,14,42,54,-12,44,League Table,2017/18,Eredivisie|PEC Zwolle|2017/18
Eredivisie,10,Heracles Almelo,34,11,9,14,50,64,-14,42,League Table,2017/18,Eredivisie|Heracles Almelo|2017/18
Eredivisie,11,SBV Excelsior,34,11,7,16,41,56,-15,40,League Table,2017/18,Eredivisie|SBV Excelsior|2017/18
Eredivisie,12,FC Groningen,34,8,14,12,50,50,0,38,League Table,2017/18,Eredivisie|FC Groningen|2017/18
Eredivisie,13,Willem II Tilburg,34,10,7,17,50,63,-13,37,League Table,2017/18,Eredivisie|Willem II Tilburg|2017/18
Eredivisie,14,NAC Breda,34,9,7,18,41,57,-16,34,League Table,2017/18,Eredivisie|NAC Breda|2017/18
Eredivisie,15,VVV Venlo,34,7,13,14,35,54,-19,34,League Table,2017/18,Eredivisie|VVV Venlo|2017/18
Eredivisie,16,Roda JC Kerkrade,34,8,6,20,42,69,-27,30,League Table,2017/18,Eredivisie|Roda JC Kerkrade|2017/18
Eredivisie,17,Sparta Rotterdam,34,7,6,21,34,75,-41,27,League Table,2017/18,Eredivisie|Sparta Rotterdam|2017/18
Eredivisie,18,FC Twente,34,5,9,20,37,63,-26,24,League Table,2017/18,Eredivisie|FC Twente|2017/18
Eredivisie,1,PSV Eindhoven,17,15,2,-,44,9,35,47,Home League Table,2017/18,Eredivisie|PSV Eindhoven|2017/18
Eredivisie,2,AFC Ajax,17,14,1,2,45,12,33,43,Home League Table,2017/18,Eredivisie|AFC Ajax|2017/18
Eredivisie,3,Feyenoord,17,11,3,3,37,17,20,36,Home League Table,2017/18,Eredivisie|Feyenoord|2017/18
Eredivisie,4,AZ Alkmaar,17,11,2,4,40,23,17,35,Home League Table,2017/18,Eredivisie|AZ Alkmaar|2017/18
Eredivisie,5,FC Utrecht,17,9,7,1,32,21,11,34,Home League Table,2017/18,Eredivisie|FC Utrecht|2017/18
Eredivisie,6,Heracles Almelo,17,9,4,4,29,25,4,31,Home League Table,2017/18,Eredivisie|Heracles Almelo|2017/18
Eredivisie,7,FC Groningen,17,7,7,3,32,21,11,28,Home League Table,2017/18,Eredivisie|FC Groningen|2017/18
Eredivisie,8,PEC Zwolle,17,8,4,5,27,20,7,28,Home League Table,2017/18,Eredivisie|PEC Zwolle|2017/18
Eredivisie,9,Vitesse Arnhem,17,7,6,4,35,20,15,27,Home League Table,2017/18,Eredivisie|Vitesse Arnhem|2017/18
Eredivisie,10,ADO Den Haag,17,7,4,6,26,27,-1,25,Home League Table,2017/18,Eredivisie|ADO Den Haag|2017/18
Eredivisie,11,SC Heerenveen,17,6,5,6,21,24,-3,23,Home League Table,2017/18,Eredivisie|SC Heerenveen|2017/18
Eredivisie,12,Willem II Tilburg,17,6,4,7,31,29,2,22,Home League Table,2017/18,Eredivisie|Willem II Tilburg|2017/18
Eredivisie,13,NAC Breda,17,7,1,9,26,31,-5,22,Home League Table,2017/18,Eredivisie|NAC Breda|2017/18
Eredivisie,14,Sparta Rotterdam,17,6,2,9,21,36,-15,20,Home League Table,2017/18,Eredivisie|Sparta Rotterdam|2017/18
Eredivisie,15,FC Twente,17,4,6,7,25,31,-6,18,Home League Table,2017/18,Eredivisie|FC Twente|2017/18
Eredivisie,16,Roda JC Kerkrade,17,4,4,9,21,34,-13,16,Home League Table,2017/18,Eredivisie|Roda JC Kerkrade|2017/18
Eredivisie,17,VVV Venlo,17,3,6,8,19,29,-10,15,Home League Table,2017/18,Eredivisie|VVV Venlo|2017/18
Eredivisie,18,SBV Excelsior,17,3,5,9,16,24,-8,14,Home League Table,2017/18,Eredivisie|SBV Excelsior|2017/18
Eredivisie,1,AFC Ajax,17,11,3,3,44,21,23,36,Away League Table,2017/18,Eredivisie|AFC Ajax|2017/18
Eredivisie,2,AZ Alkmaar,17,11,3,3,32,15,17,36,Away League Table,2017/18,Eredivisie|AZ Alkmaar|2017/18
Eredivisie,3,PSV Eindhoven,17,11,3,3,43,30,13,36,Away League Table,2017/18,Eredivisie|PSV Eindhoven|2017/18
Eredivisie,4,Feyenoord,17,9,3,5,39,22,17,30,Away League Table,2017/18,Eredivisie|Feyenoord|2017/18
Eredivisie,5,SBV Excelsior,17,8,2,7,25,32,-7,26,Away League Table,2017/18,Eredivisie|SBV Excelsior|2017/18
Eredivisie,6,SC Heerenveen,17,6,5,6,27,29,-2,23,Away League Table,2017/18,Eredivisie|SC Heerenveen|2017/18
Eredivisie,7,Vitesse Arnhem,17,6,4,7,28,27,1,22,Away League Table,2017/18,Eredivisie|Vitesse Arnhem|2017/18
Eredivisie,8,ADO Den Haag,17,6,4,7,19,26,-7,22,Away League Table,2017/18,Eredivisie|ADO Den Haag|2017/18
Eredivisie,9,FC Utrecht,17,5,5,7,26,32,-6,20,Away League Table,2017/18,Eredivisie|FC Utrecht|2017/18
Eredivisie,10,VVV Venlo,17,4,7,6,16,25,-9,19,Away League Table,2017/18,Eredivisie|VVV Venlo|2017/18
Eredivisie,11,PEC Zwolle,17,4,4,9,15,34,-19,16,Away League Table,2017/18,Eredivisie|PEC Zwolle|2017/18
Eredivisie,12,Willem II Tilburg,17,4,3,10,19,34,-15,15,Away League Table,2017/18,Eredivisie|Willem II Tilburg|2017/18
Eredivisie,13,Roda JC Kerkrade,17,4,2,11,21,35,-14,14,Away League Table,2017/18,Eredivisie|Roda JC Kerkrade|2017/18
Eredivisie,14,NAC Breda,17,2,6,9,15,26,-11,12,Away League Table,2017/18,Eredivisie|NAC Breda|2017/18
Eredivisie,15,Heracles Almelo,17,2,5,10,21,39,-18,11,Away League Table,2017/18,Eredivisie|Heracles Almelo|2017/18
Eredivisie,16,FC Groningen,17,1,7,9,18,29,-11,10,Away League Table,2017/18,Eredivisie|FC Groningen|2017/18
Eredivisie,17,Sparta Rotterdam,17,1,4,12,13,39,-26,7,Away League Table,2017/18,Eredivisie|Sparta Rotterdam|2017/18
Eredivisie,18,FC Twente,17,1,3,13,12,32,-20,6,Away League Table,2017/18,Eredivisie|FC Twente|2017/18
Serie A,1,Juventus,38,30,5,3,86,24,62,95,League Table,2017/18,Serie A|Juventus|2017/18
Serie A,2,Napoli,38,28,7,3,77,29,48,91,League Table,2017/18,Serie A|Napoli|2017/18
Serie A,3,AS Roma,38,23,8,7,61,28,33,77,League Table,2017/18,Serie A|AS Roma|2017/18
Serie A,4,SS Lazio,38,21,9,8,89,49,40,72,League Table,2017/18,Serie A|SS Lazio|2017/18
Serie A,5,Internazionale,38,20,12,6,66,30,36,72,League Table,2017/18,Serie A|Internazionale|2017/18
Serie A,6,AC Milan,38,18,10,10,56,42,14,64,League Table,2017/18,Serie A|AC Milan|2017/18
Serie A,7,Atalanta,38,16,12,10,57,39,18,60,League Table,2017/18,Serie A|Atalanta|2017/18
Serie A,8,Fiorentina,38,16,9,13,54,46,8,57,League Table,2017/18,Serie A|Fiorentina|2017/18
Serie A,9,Torino,38,13,15,10,54,46,8,54,League Table,2017/18,Serie A|Torino|2017/18
Serie A,10,Sampdoria,38,16,6,16,56,60,-4,54,League Table,2017/18,Serie A|Sampdoria|2017/18
Serie A,11,Sassuolo,38,11,10,17,29,59,-30,43,League Table,2017/18,Serie A|Sassuolo|2017/18
Serie A,12,Genoa,38,11,8,19,33,43,-10,41,League Table,2017/18,Serie A|Genoa|2017/18
Serie A,13,Udinese,38,12,4,22,48,63,-15,40,League Table,2017/18,Serie A|Udinese|2017/18
Serie A,14,Chievo,38,10,10,18,36,59,-23,40,League Table,2017/18,Serie A|Chievo|2017/18
Serie A,15,Bologna,38,11,6,21,40,52,-12,39,League Table,2017/18,Serie A|Bologna|2017/18
Serie A,16,Cagliari,38,11,6,21,33,61,-28,39,League Table,2017/18,Serie A|Cagliari|2017/18
Serie A,17,SPAL,38,8,14,16,39,59,-20,38,League Table,2017/18,Serie A|SPAL|2017/18
Serie A,18,FC Crotone,38,9,8,21,40,66,-26,35,League Table,2017/18,Serie A|FC Crotone|2017/18
Serie A,19,Hellas Verona,38,7,4,27,30,78,-48,25,League Table,2017/18,Serie A|Hellas Verona|2017/18
Serie A,20,Benevento,38,6,3,29,33,84,-51,21,League Table,2017/18,Serie A|Benevento|2017/18
Serie A,1,Juventus,19,16,1,2,45,8,37,49,Home League Table,2017/18,Serie A|Juventus|2017/18
Serie A,2,Napoli,19,14,3,2,43,18,25,45,Home League Table,2017/18,Serie A|Napoli|2017/18
Serie A,3,Sampdoria,19,12,3,4,36,20,16,39,Home League Table,2017/18,Serie A|Sampdoria|2017/18
Serie A,4,Internazionale,19,11,5,3,37,16,21,38,Home League Table,2017/18,Serie A|Internazionale|2017/18
Serie A,5,AS Roma,19,11,2,6,31,19,12,35,Home League Table,2017/18,Serie A|AS Roma|2017/18
Serie A,6,AC Milan,19,10,5,4,25,16,9,35,Home League Table,2017/18,Serie A|AC Milan|2017/18
Serie A,7,Atalanta,19,9,6,4,30,18,12,33,Home League Table,2017/18,Serie A|Atalanta|2017/18
Serie A,8,SS Lazio,19,9,5,5,45,21,24,32,Home League Table,2017/18,Serie A|SS Lazio|2017/18
Serie A,9,Torino,19,8,6,5,29,18,11,30,Home League Table,2017/18,Serie A|Torino|2017/18
Serie A,10,Fiorentina,19,8,5,6,27,22,5,29,Home League Table,2017/18,Serie A|Fiorentina|2017/18
Serie A,11,Chievo,19,7,6,6,22,24,-2,27,Home League Table,2017/18,Serie A|Chievo|2017/18
Serie A,12,FC Crotone,19,6,6,7,23,25,-2,24,Home League Table,2017/18,Serie A|FC Crotone|2017/18
Serie A,13,SPAL,19,5,8,6,22,29,-7,23,Home League Table,2017/18,Serie A|SPAL|2017/18
Serie A,14,Bologna,19,6,4,9,25,26,-1,22,Home League Table,2017/18,Serie A|Bologna|2017/18
Serie A,15,Genoa,19,6,3,10,23,27,-4,21,Home League Table,2017/18,Serie A|Genoa|2017/18
Serie A,16,Cagliari,19,6,3,10,18,30,-12,21,Home League Table,2017/18,Serie A|Cagliari|2017/18
Serie A,17,Udinese,19,6,2,11,24,30,-6,20,Home League Table,2017/18,Serie A|Udinese|2017/18
Serie A,18,Sassuolo,19,4,7,8,11,22,-11,19,Home League Table,2017/18,Serie A|Sassuolo|2017/18
Serie A,19,Benevento,19,5,2,12,23,40,-17,17,Home League Table,2017/18,Serie A|Benevento|2017/18
Serie A,20,Hellas Verona,19,5,1,13,14,35,-21,16,Home League Table,2017/18,Serie A|Hellas Verona|2017/18
Serie A,1,Juventus,19,14,4,1,41,16,25,46,Away League Table,2017/18,Serie A|Juventus|2017/18
Serie A,2,Napoli,19,14,4,1,34,11,23,46,Away League Table,2017/18,Serie A|Napoli|2017/18
Serie A,3,AS Roma,19,12,6,1,30,9,21,42,Away League Table,2017/18,Serie A|AS Roma|2017/18
Serie A,4,SS Lazio,19,12,4,3,44,28,16,40,Away League Table,2017/18,Serie A|SS Lazio|2017/18
Serie A,5,Internazionale,19,9,7,3,29,14,15,34,Away League Table,2017/18,Serie A|Internazionale|2017/18
Serie A,6,AC Milan,19,8,5,6,31,26,5,29,Away League Table,2017/18,Serie A|AC Milan|2017/18
Serie A,7,Fiorentina,19,8,4,7,27,24,3,28,Away League Table,2017/18,Serie A|Fiorentina|2017/18
Serie A,8,Atalanta,19,7,6,6,27,21,6,27,Away League Table,2017/18,Serie A|Atalanta|2017/18
Serie A,9,Torino,19,5,9,5,25,28,-3,24,Away League Table,2017/18,Serie A|Torino|2017/18
Serie A,10,Sassuolo,19,7,3,9,18,37,-19,24,Away League Table,2017/18,Serie A|Sassuolo|2017/18
Serie A,11,Genoa,19,5,5,9,10,16,-6,20,Away League Table,2017/18,Serie A|Genoa|2017/18
Serie A,12,Udinese,19,6,2,11,24,33,-9,20,Away League Table,2017/18,Serie A|Udinese|2017/18
Serie A,13,Cagliari,19,5,3,11,15,31,-16,18,Away League Table,2017/18,Serie A|Cagliari|2017/18
Serie A,14,Bologna,19,5,2,12,15,26,-11,17,Away League Table,2017/18,Serie A|Bologna|2017/18
Serie A,15,SPAL,19,3,6,10,17,30,-13,15,Away League Table,2017/18,Serie A|SPAL|2017/18
Serie A,16,Sampdoria,19,4,3,12,20,40,-20,15,Away League Table,2017/18,Serie A|Sampdoria|2017/18
Serie A,17,Chievo,19,3,4,12,14,35,-21,13,Away League Table,2017/18,Serie A|Chievo|2017/18
Serie A,18,FC Crotone,19,3,2,14,17,41,-24,11,Away League Table,2017/18,Serie A|FC Crotone|2017/18
Serie A,19,Hellas Verona,19,2,3,14,16,43,-27,9,Away League Table,2017/18,Serie A|Hellas Verona|2017/18
Serie A,20,Benevento,19,1,1,17,10,44,-34,4,Away League Table,2017/18,Serie A|Benevento|2017/18
Scottish Premiership,1,Celtic,38,24,10,4,73,25,48,82,League Table,2017/18,Scottish Premiership|Celtic|2017/18
Scottish Premiership,2,Aberdeen,38,22,7,9,56,37,19,73,League Table,2017/18,Scottish Premiership|Aberdeen|2017/18
Scottish Premiership,3,Rangers,38,21,7,10,76,50,26,70,League Table,2017/18,Scottish Premiership|Rangers|2017/18
Scottish Premiership,4,Hibernian,38,18,13,7,62,46,16,67,League Table,2017/18,Scottish Premiership|Hibernian|2017/18
Scottish Premiership,5,Kilmarnock,38,16,11,11,49,47,2,59,League Table,2017/18,Scottish Premiership|Kilmarnock|2017/18
Scottish Premiership,6,Heart of Midlothian,38,12,13,13,39,39,0,49,League Table,2017/18,Scottish Premiership|Heart of Midlothian|2017/18
Scottish Premiership,7,Motherwell,38,13,9,16,43,49,-6,48,League Table,2017/18,Scottish Premiership|Motherwell|2017/18
Scottish Premiership,8,St Johnstone,38,12,10,16,42,53,-11,46,League Table,2017/18,Scottish Premiership|St Johnstone|2017/18
Scottish Premiership,9,Dundee,38,11,6,21,36,57,-21,39,League Table,2017/18,Scottish Premiership|Dundee|2017/18
Scottish Premiership,10,Hamilton Academical,38,9,6,23,47,68,-21,33,League Table,2017/18,Scottish Premiership|Hamilton Academical|2017/18
Scottish Premiership,11,Partick Thistle,38,8,9,21,31,61,-30,33,League Table,2017/18,Scottish Premiership|Partick Thistle|2017/18
Scottish Premiership,12,Ross County,38,6,11,21,40,62,-22,29,League Table,2017/18,Scottish Premiership|Ross County|2017/18
Scottish Premiership,1,Celtic,19,11,7,1,38,9,29,40,Home League Table,2017/18,Scottish Premiership|Celtic|2017/18
Scottish Premiership,2,Aberdeen,19,11,4,4,30,16,14,37,Home League Table,2017/18,Scottish Premiership|Aberdeen|2017/18
Scottish Premiership,3,Hibernian,19,11,4,4,39,27,12,37,Home League Table,2017/18,Scottish Premiership|Hibernian|2017/18
Scottish Premiership,4,Rangers,19,10,2,7,32,20,12,32,Home League Table,2017/18,Scottish Premiership|Rangers|2017/18
Scottish Premiership,5,Heart of Midlothian,18,8,7,3,23,13,10,31,Home League Table,2017/18,Scottish Premiership|Heart of Midlothian|2017/18
Scottish Premiership,6,Kilmarnock,19,9,3,7,27,26,1,30,Home League Table,2017/18,Scottish Premiership|Kilmarnock|2017/18
Scottish Premiership,7,Motherwell,20,8,5,7,26,22,4,29,Home League Table,2017/18,Scottish Premiership|Motherwell|2017/18
Scottish Premiership,8,Partick Thistle,19,6,4,9,20,24,-4,22,Home League Table,2017/18,Scottish Premiership|Partick Thistle|2017/18
Scottish Premiership,9,St Johnstone,19,5,7,7,17,27,-10,22,Home League Table,2017/18,Scottish Premiership|St Johnstone|2017/18
Scottish Premiership,10,Dundee,19,6,3,10,18,27,-9,21,Home League Table,2017/18,Scottish Premiership|Dundee|2017/18
Scottish Premiership,11,Hamilton Academical,19,5,3,11,26,35,-9,18,Home League Table,2017/18,Scottish Premiership|Hamilton Academical|2017/18
Scottish Premiership,12,Ross County,19,3,7,9,23,29,-6,16,Home League Table,2017/18,Scottish Premiership|Ross County|2017/18
Scottish Premiership,1,Celtic,19,13,3,3,35,16,19,42,Away League Table,2017/18,Scottish Premiership|Celtic|2017/18
Scottish Premiership,2,Rangers,19,11,5,3,44,30,14,38,Away League Table,2017/18,Scottish Premiership|Rangers|2017/18
Scottish Premiership,3,Aberdeen,19,11,3,5,26,21,5,36,Away League Table,2017/18,Scottish Premiership|Aberdeen|2017/18
Scottish Premiership,4,Hibernian,19,7,9,3,23,19,4,30,Away League Table,2017/18,Scottish Premiership|Hibernian|2017/18
Scottish Premiership,5,Kilmarnock,19,7,8,4,22,21,1,29,Away League Table,2017/18,Scottish Premiership|Kilmarnock|2017/18
Scottish Premiership,6,St Johnstone,19,7,3,9,25,26,-1,24,Away League Table,2017/18,Scottish Premiership|St Johnstone|2017/18
Scottish Premiership,7,Motherwell,18,5,4,9,17,27,-10,19,Away League Table,2017/18,Scottish Premiership|Motherwell|2017/18
Scottish Premiership,8,Heart of Midlothian,20,4,6,10,16,26,-10,18,Away League Table,2017/18,Scottish Premiership|Heart of Midlothian|2017/18
Scottish Premiership,9,Dundee,19,5,3,11,18,30,-12,18,Away League Table,2017/18,Scottish Premiership|Dundee|2017/18
Scottish Premiership,10,Hamilton Academical,19,4,3,12,21,33,-12,15,Away League Table,2017/18,Scottish Premiership|Hamilton Academical|2017/18
Scottish Premiership,11,Ross County,19,3,4,12,17,33,-16,13,Away League Table,2017/18,Scottish Premiership|Ross County|2017/18
Scottish Premiership,12,Partick Thistle,19,2,5,12,11,37,-26,11,Away League Table,2017/18,Scottish Premiership|Partick Thistle|2017/18
