League,Team,Season,KEY,Player,Position,Appearances,Goals,Started,Started As A Sub,Came On,Taken Off,Own Goals,Type Of Goal,First Half,Second Half,First Scorer,Last Scorer,Home,Away,Right Foot,Left Foot,Header,Other Method,Open Play,Cross,Free Kick,Direct Free Kick,Throw In,Penalty,Corner,Other Type Of Play,Minutes played,Min/goal,Assists,% Assists,Leading Recipient,Recipient Goals,CS,% Clean Sheets,Hat Tricks,Yellow Cards,Yellow - First Half,Yellow - Second Half,Yellow - Home,Yellow - Away,Yelow - Minutes Played,Minutes per Yellow Cards,Sent Off,Straight Red Card,Two Yellow Cards,Red - First Half,Red - Second Half,Red - Home,Red - Away,Red - Minutes Played,Minutes per Red Cards
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,,,,59,,,,,,Team,,,,,,,,,,,37,6,3,-,-,5,8,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Virgil van Dijk,Defender,26,4,26,0,0,0,0,Player,4,-,2,-,4,-,-,-,4,-,-,-,1,-,-,-,3,-,,,,,,,,,,1,-,1,-,1,2340,2340,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Trent Alexander-Arnold,Defender,26,2,25,1,1,2,0,Player,1,1,1,1,-,2,2,-,-,-,1,-,1,-,-,-,-,-,,,10,17,Virgil van Dijk,3,,,,4,1,3,2,2,2280,570,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Andrew Robertson,Defender,26,1,25,1,1,2,0,Player,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,,,6,10,Sadio Mane,2,,,,1,-,1,-,1,2265,2265,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Roberto Firmino,Midfielder,26,8,24,2,2,12,0,Player,3,5,2,4,-,8,3,3,2,-,4,1,1,-,-,-,2,-,2162,270,7,12,Mohamed Salah,3,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Georginio Wijnaldum,Midfielder,25,2,25,0,0,10,0,Player,-,2,1,2,1,1,2,-,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Jordan Henderson,Midfielder,25,3,22,4,3,8,0,Player,1,2,1,-,2,1,1,1,1,-,2,-,-,-,-,-,1,-,,,5,8,Sadio Mane,2,,,,1,1,-,1,-,1891,1891,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Mohamed Salah,Forward,23,14,23,2,0,11,0,Player,5,9,4,6,12,2,2,11,1,-,10,1,-,-,-,3,-,-,1980,141,6,10,Roberto Firmino,2,,,,1,-,1,1,-,1980,1980,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Sadio Mane,Midfielder,23,12,21,3,2,8,0,Player,7,5,6,4,7,5,6,4,2,-,10,1,-,-,-,-,1,-,1814,151,6,10,Mohamed Salah,1,,,,2,1,1,-,2,1814,907,,,,,,,,,
Premier League,Liverpool,2019/20,Premier League|Liverpool|2019/20,Divock Origi,Forward,20,3,5,20,15,5,0,Player,3,-,1,-,3,-,1,1,1,-,2,1,-,-,-,-,-,-,491,164,,,,,,,,,,,,,,,,,,,,,,,
