League,Team,Season,KEY,Player,Position,Appearances,Goals,Started,Started As A Sub,Came On,Taken Off,Own Goals,Type Of Goal,First Half,Second Half,First Scorer,Last Scorer,Home,Away,Right Foot,Left Foot,Header,Other Method,Open Play,Cross,Free Kick,Direct Free Kick,Throw In,Penalty,Corner,Other Type Of Play,Minutes played,Min/goal,Assists,% Assists,Leading Recipient,Recipient Goals,CS,% Clean Sheets,Hat Tricks,Yellow Cards,Yellow - First Half,Yellow - Second Half,Yellow - Home,Yellow - Away,Yelow - Minutes Played,Minutes per Yellow Cards,Sent Off,Straight Red Card,Two Yellow Cards,Red - First Half,Red - Second Half,Red - Home,Red - Away,Red - Minutes Played,Minutes per Red Cards
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,,,,83,,,,,,Team,,,,,,,,,,,61,3,3,3,-,2,11,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Cesar Azpilicueta,Defender,38,1,38,0,0,0,0,Player,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,4,1,3,2,2,3420,855,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Gary Cahill,Defender,37,6,36,2,1,1,1,Player,3,3,1,2,4,2,3,-,3,-,-,-,2,-,-,-,4,-,,,,,,,,,,5,3,2,1,4,3296,659.2,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Eden Hazard,Midfielder,36,16,36,0,0,25,0,Player,9,7,8,3,12,4,12,4,-,-,14,-,-,-,-,2,-,-,3006,188,,,,,,,,3,-,3,-,3,3006,1002,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Thibaut Courtois,Goalkeeper,36,0,36,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,16,44.44%,,1,-,1,-,1,3240,3240,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Diego Costa,Forward,35,20,35,1,0,8,0,Player,7,13,8,11,11,9,13,5,2,-,13,2,-,-,-,-,5,-,3090,155,7,8,Willian,3,,,,10,6,4,3,7,3090,309,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,"N'Golo Kante",Midfielder,35,1,35,1,0,1,0,Player,-,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,9,3,6,5,4,3139,348.78,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Nemanja Matic,Midfielder,35,1,30,6,5,7,0,Player,-,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,,,7,8,Diego Costa,3,,,,4,1,3,3,1,2696,674,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Pedro Rodriguez,Midfielder,35,9,26,11,9,20,0,Player,4,5,4,2,6,3,2,5,2,-,9,-,-,-,-,-,-,-,2151,239,9,11,Eden Hazard,3,,,,6,2,4,3,3,2151,358.5,,,,,,,,,
Premier League,Chelsea,2016/17,Premier League|Chelsea|2016/17,Victor Moses,Midfielder,34,3,29,6,5,20,0,Player,-,3,-,3,3,-,3,-,-,-,2,1,-,-,-,-,-,-,,,,,,,,,,4,3,1,1,3,2497,624.25,,,,,,,,,
